nummer,namn,naringsnamn,gruppering,mangd,enhet
4,Kokosfett,"Jod, I","Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Fullkorn totalt,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Folat, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Fibrer,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Fett, totalt","Övrigt fett (ister, talg, kokosfett)",100.0,g
4,Kokosfett,"Järn, Fe","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Energi (kJ),"Övrigt fett (ister, talg, kokosfett)",3700.0,kJ
4,Kokosfett,Energi (kcal),"Övrigt fett (ister, talg, kokosfett)",884.0,kcal
4,Kokosfett,Disackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,"Kalcium, Ca","Övrigt fett (ister, talg, kokosfett)",0.0,mg
4,Kokosfett,Fettsyra 4:0-10:0,"Övrigt fett (ister, talg, kokosfett)",13.0,g
4,Kokosfett,DHA (C22:6),"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,DPA (C22:5),"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,EPA (C20:5),"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Arakidonsyra C20:4,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Arakidinsyra C20:0,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Linolensyra C18:3,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Linolsyra C18:2,"Övrigt fett (ister, talg, kokosfett)",1.8,g
4,Kokosfett,Oljesyra C18:1,"Övrigt fett (ister, talg, kokosfett)",7.2,g
4,Kokosfett,Stearinsyra C18:0,"Övrigt fett (ister, talg, kokosfett)",3.0,g
4,Kokosfett,Palmitoljesyra C16:1,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Palmitinsyra C16:0,"Övrigt fett (ister, talg, kokosfett)",9.6,g
4,Kokosfett,Myristinsyra C14:0,"Övrigt fett (ister, talg, kokosfett)",18.7,g
4,Kokosfett,Laurinsyra C12:0,"Övrigt fett (ister, talg, kokosfett)",46.3,g
4,Kokosfett,Betakaroten/β-Karoten,"Övrigt fett (ister, talg, kokosfett)",0.0,µg
4,Kokosfett,Avfall (skal etc.),"Övrigt fett (ister, talg, kokosfett)",0.0,%
4,Kokosfett,Aska,"Övrigt fett (ister, talg, kokosfett)",0.0,g
4,Kokosfett,Alkohol,"Övrigt fett (ister, talg, kokosfett)",0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Zink, Zn",Hård matfettsblandning,0.1,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin E,Hård matfettsblandning,6.8,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin D,Hård matfettsblandning,20.0,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin C,Hård matfettsblandning,0.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin B6,Hård matfettsblandning,0.01,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin B12,Hård matfettsblandning,0.1,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vitamin A,Hård matfettsblandning,919.2,RE/µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Vatten,Hård matfettsblandning,17.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Tiamin,Hård matfettsblandning,0.01,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Tillsatt socker,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Fritt socker,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Selen, Se",Hård matfettsblandning,0.0,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Sackaros,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Riboflavin,Hård matfettsblandning,0.02,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Retinol,Hård matfettsblandning,900.0,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Protein,Hård matfettsblandning,0.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Summa fleromättade fettsyror,Hård matfettsblandning,8.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Fosfor, P",Hård matfettsblandning,26.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Niacinekvivalenter,Hård matfettsblandning,0.22,NE/mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Niacin,Hård matfettsblandning,0.1,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Salt, NaCl",Hård matfettsblandning,2.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Natrium, Na",Hård matfettsblandning,800.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Monosackarider,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Sockerarter, totalt",Hård matfettsblandning,0.6,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Summa enkelomättade fettsyror,Hård matfettsblandning,26.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Magnesium, Mg",Hård matfettsblandning,3.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Summa mättade fettsyror,Hård matfettsblandning,39.2,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Kolhydrater, tillgängliga",Hård matfettsblandning,0.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Kolesterol,Hård matfettsblandning,180.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Kalium, K",Hård matfettsblandning,20.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Jod, I",Hård matfettsblandning,2.4,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Fullkorn totalt,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Folat, totalt",Hård matfettsblandning,3.0,µg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Fibrer,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Fett, totalt",Hård matfettsblandning,80.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Järn, Fe",Hård matfettsblandning,0.2,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Energi (kJ),Hård matfettsblandning,2977.0,kJ
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Energi (kcal),Hård matfettsblandning,712.0,kcal
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Disackarider,Hård matfettsblandning,0.6,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,"Kalcium, Ca",Hård matfettsblandning,18.0,mg
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Fettsyra 4:0-10:0,Hård matfettsblandning,6.4,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,DHA (C22:6),Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,DPA (C22:5),Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,EPA (C20:5),Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Arakidonsyra C20:4,Hård matfettsblandning,0.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Arakidinsyra C20:0,Hård matfettsblandning,0.3,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Linolensyra C18:3,Hård matfettsblandning,2.4,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Linolsyra C18:2,Hård matfettsblandning,6.1,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Oljesyra C18:1,Hård matfettsblandning,24.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Stearinsyra C18:0,Hård matfettsblandning,6.5,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Palmitoljesyra C16:1,Hård matfettsblandning,0.9,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Palmitinsyra C16:0,Hård matfettsblandning,17.3,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Myristinsyra C14:0,Hård matfettsblandning,6.0,g
5,Matfettsblandning havssaltat fett 80% berikad typ Bregott,Laurinsyra C12:0,Hård matfettsblandning,2.0,g
