,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
82231,Korv veg. grönsaker kylvara el. frysvara typ grillkorv,6892,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82232,Korv veg. sojaprotein tillagad kylvara el. frysvara typ grillkorv,6893,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82233,Korv veg. solrosprotein tillagad kylvara el. frysvara typ grillkorv,6894,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82234,Korv veg. solros- och ärtprotein tillagad kylvara el. frysvara typ grillkorv,6895,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82235,Korv veg. tillagad kylvara el. frysvara typ grillkorv,6896,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82236,Korv veg. grönsaker tillagad kylvara el. frysvara typ grillkorv,6897,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82237,Burgare veg. potatis linser bönor majs kylvara el. frysvara,6898,Rätter,DHA (C22:6) (g),0.0
82238,Burgare veg. potatis linser bönor majs stekt kylvara el. frysvara,6899,Rätter,DHA (C22:6) (g),0.0
82239,Ärtprotein färs kylvara el. frysvara,6901,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82240,Sojadryck osötad berikad,6902,Mejeri,DHA (C22:6) (g),0.0
82241,Mandeldryck osötad berikad,6903,Dryck,DHA (C22:6) (g),0.0
82242,Kokosnötdryck ,6904,"Nötter, frön",DHA (C22:6) (g),0.0
82243,Mörk choklad kakao 70%,6907,Godis,DHA (C22:6) (g),0.0
82244,Mörk choklad kakao 85%,6908,Godis,DHA (C22:6) (g),0.0
82245,Pommes frites klyftpotatis tillagad frysvara,6909,Rätter,DHA (C22:6) (g),0.0
82246,Sojaprotein kebab stekt frysvara typ Oumph®,6910,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82247,Sojaprotein pulled sojaprotein stekt frysvara typ Oumph®,6912,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82248,Sojaprotein bitar m. timjan vitlök stekta frysvara typ Oumph®,6913,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82249,Pommes frites klyftpotatis friterad frysvara,6914,Rätter,DHA (C22:6) (g),0.0
82250,Bulgur kokt m. tomat buljong olja,6920,Rätter,DHA (C22:6) (g),0.0
82251,Munk friterad m. socker typ somalisk bur saliid,6924,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82252,Majsdessert m. socker typ somalisk xalwo,6925,Rätter,DHA (C22:6) (g),0.0
82253,Sött vetebröd dadelkrans m. fyllning,6928,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82254,Mannagrynspudding m. socker typ syrisk mamonia,6931,Rätter,DHA (C22:6) (g),0.0
82255,Gryta auberginegryta veg. typ tapsi,6934,Rätter,DHA (C22:6) (g),0.0
82256,Mannagrynskaka fylld m. dadlar nötter typ mamoul,6936,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82257,Sesamkaka m. socker olja typ somalisk sisin ,6937,Snacks,DHA (C22:6) (g),0.0
82258,Gryta m. kött kyckling typ tapsi,6943,Rätter,DHA (C22:6) (g),0.1
82259,Fatteh veg.,6945,Rätter,DHA (C22:6) (g),0.0
82260,Fatteh m. kyckling,6946,Rätter,DHA (C22:6) (g),0.0
82261,Börek m. spenat fetaost veg.,6948,Rätter,DHA (C22:6) (g),0.0
82262,Börek m. köttfärs,6949,Rätter,DHA (C22:6) (g),0.0
82263,Pizza orientalisk,6950,Rätter,DHA (C22:6) (g),0.0
82264,Pirog m. kött ugnsstekt typ sambusa,6951,Rätter,DHA (C22:6) (g),0.0
82265,Pirog m. spenat ugnsstekt veg. typ sambusa,6952,Rätter,DHA (C22:6) (g),0.0
82266,Pirog m. ost ugnsstekt typ sambusa,6953,Rätter,DHA (C22:6) (g),0.0
82267,Pirog m. grönsaker friterad veg. typ sambusa,6955,Rätter,DHA (C22:6) (g),0.0
82268,Dolma veg.,6956,Rätter,DHA (C22:6) (g),0.0
82269,Grön chilisås typ basbaas cagaar,6958,Rätter,DHA (C22:6) (g),0.0
82270,Yoghurtdryck typ ayran,6959,Mejeri,DHA (C22:6) (g),0.0
82271,Bröd vitt mjukt typ chapati,6966,Bröd,DHA (C22:6) (g),0.0
82272,Gryta köttgryta typ suqaar,6971,Rätter,DHA (C22:6) (g),0.0
82273,Kebab m. lamm hemlagad,6972,Rätter,DHA (C22:6) (g),0.0
82274,Mannagrynskaka m. sirap yoghurt typ basbousa,6979,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82275,Biryani ris m. kyckling lammkött grönsaker,6984,Rätter,DHA (C22:6) (g),0.0
82276,Biryani ris m. grönsaker veg.,6985,Rätter,DHA (C22:6) (g),0.0
82277,Yoghurtsås m. tahini citron,6986,Rätter,DHA (C22:6) (g),0.0
82278,Potatisgratäng kylvara tillagad,6988,Rätter,DHA (C22:6) (g),0.0
82279,Kakaobönor,6991,Smaksättare,DHA (C22:6) (g),0.0
82280,Choklad ljus vegansk,6992,Godis,DHA (C22:6) (g),0.0
82281,Gelégodis u. gelatin,6993,Godis,DHA (C22:6) (g),0.0
82282,Mango torkad,6994,"Frukt, bär",DHA (C22:6) (g),0.0
82283,Gojibär torkade,6996,"Frukt, bär",DHA (C22:6) (g),0.0
82284,Glykossirap,6997,Smaksättare,DHA (C22:6) (g),0.0
82285,Näringsjäst,6998,Övrigt,DHA (C22:6) (g),0.0
82286,Havreris kokt m. salt,6999,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82287,Lakritsgodis,7000,Godis,DHA (C22:6) (g),0.0
82288,Hirs kokt m. salt,7006,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82289,Kokosbaserad bit riven fett ca 20% som alternativ till ost,7011,Pålägg,DHA (C22:6) (g),0.0
82290,Kokosbaserad bit fett ca 20% som alternativ till ost,7012,Pålägg,DHA (C22:6) (g),0.0
82291,Korv kryddkorv kött ca 75%,7015,Korv,DHA (C22:6) (g),0.0
82292,Dippsås m. gräddfil dippmix,7016,Rätter,DHA (C22:6) (g),0.0
82293,Snabbkaffe koffeinfritt pulver,7018,Smaksättare,DHA (C22:6) (g),
82294,Mullbär,7019,"Frukt, bär",DHA (C22:6) (g),0.0
82295,Te fermenterat m. fruktjuice,7020,Dryck,DHA (C22:6) (g),0.0
82296,Te fermenterat m. sötningsm.,7021,Dryck,DHA (C22:6) (g),0.0
82297,Färskost ricotta fett ca 10%,7022,Pålägg,DHA (C22:6) (g),0.0
82298,Wasabirot,7023,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),0.0
82299,Macadamianötter,7024,"Nötter, frön",DHA (C22:6) (g),0.0
82300,Quinoa okokt,7025,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82301,Quinoamjöl,7026,Mjöl,DHA (C22:6) (g),0.0
82302,Tempeh,7027,"Quorn, sojaprotein, vegetariska produkter",DHA (C22:6) (g),0.0
82303,Arrowrotmjöl,7028,Mjöl,DHA (C22:6) (g),0.0
82304,Vinblad konserv.,7029,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),
82305,Hampamjöl avfettat,7030,Mjöl,DHA (C22:6) (g),0.0
82306,Kakaosmör,7031,Smaksättare,DHA (C22:6) (g),0.0
82307,Röd pepparsås,7032,Smaksättare,DHA (C22:6) (g),0.0
82308,Shiitakesvamp,7034,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),0.0
82309,Ostronskivling,7035,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),0.0
82310,Blåbär amerikanska,7042,"Frukt, bär",DHA (C22:6) (g),0.0
82311,Odon,7047,"Frukt, bär",DHA (C22:6) (g),0.0
82312,Rönnbär,7048,"Frukt, bär",DHA (C22:6) (g),0.0
82313,Aronia svart,7050,"Frukt, bär",DHA (C22:6) (g),0.0
82314,Aronia torkad pulver,7051,"Frukt, bär",DHA (C22:6) (g),0.0
82315,Rågkli,7052,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82316,Ärtskott,7053,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),0.0
82317,Kakaopulver fett 10-15%,7054,Smaksättare,DHA (C22:6) (g),0.0
82318,Korv kryddkorv kött ca 75% stekt,7061,Korv,DHA (C22:6) (g),0.0
82319,Köttbullar stekta frysvara,7062,Rätter,DHA (C22:6) (g),0.0
82320,Korv falukorv fett ca 22 % kött 58% stekt,7063,Korv,DHA (C22:6) (g),0.0
82321,Frityrolja,7066,"Fett, olja",DHA (C22:6) (g),0.0
82322,Fruktyoghurt fett 2% berikad,7087,Mejeri,DHA (C22:6) (g),0.0
82323,"Fruktyoghurt fett 2,5% berikad",7088,Mejeri,DHA (C22:6) (g),0.0
82324,Mjuk kaka tårtbotten glutenfri,7091,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82325,Soygurt smaksatt osötad berikad,7135,Mejeri,DHA (C22:6) (g),0.0
82326,Soygurt naturell eko. berikad,7136,Mejeri,DHA (C22:6) (g),0.0
82327,Crème fraiche fett 32%,7137,Mejeri,DHA (C22:6) (g),0.0
82328,Crème fraiche laktosfri fett 32-34%,7138,Mejeri,DHA (C22:6) (g),0.0
82329,Crème fraiche lätt fett 13%,7139,Mejeri,DHA (C22:6) (g),0.0
82330,Crème fraiche lätt laktosfri fett 13%,7140,Mejeri,DHA (C22:6) (g),0.0
82331,Ädelost blågrön mögelost fett ca 35%,7141,Pålägg,DHA (C22:6) (g),0.0
82332,Ost hårdost parmesan fett 29% typ Grana Padano,7142,Pålägg,DHA (C22:6) (g),0.0
82333,Soygurt smaksatt berikad,7143,Mejeri,DHA (C22:6) (g),0.0
82334,Soygurt naturell berikad Ca vitD B12 folsyra riboflavin,7144,Mejeri,DHA (C22:6) (g),0.0
82335,Soygurt naturell berikad Ca vitD B12,7145,Mejeri,DHA (C22:6) (g),0.0
82336,Yoghurt smaksatt m. sötningsm. fett 0% typ grekisk yoghurt,7146,Mejeri,DHA (C22:6) (g),0.0
